id;nama;email;alamat_website;tingkatan;kategori;logo;deskripsi;contact_person
A1;anton;anton@ui.ac.id;kosong;senior1;olahraga1;kosong;kosong;081234567890
A2;bagas;bagas@ui.ac.id;kosong;senior2;olahraga2;kosong;kosong;083333367890
A3;dimas;dimas@ui.ac.id;kosong;senior3;olahraga3;kosong;kosong;086666667890
A4;newt;newt@ui.ac.id;kosong;senior4;olahraga4;kosong;kosong;089999967890
B1;anti;anti@ui.ac.id;kosong;senior1;riset1;kosong;kosong;081123467890
B2;brook;brook@ui.ac.id;kosong;senior2;riset2;kosong;kosong;084321567890
B3;deby;deby@ui.ac.id;kosong;senior3;riset3;kosong;kosong;087618967890
B4;holmes;holmes@ui.ac.id;kosong;senior4;riset4;kosong;kosong;081098767890
C1;akmal;akmal@ui.ac.id;kosong;senior1;game1;kosong;kosong;081112367890
C2;cindy;cindy@ui.ac.id;kosong;senior2;game2;kosong;kosong;084432167890
C3;dina;dina@ui.ac.id;kosong;senior3;game3;kosong;kosong;087761867890
C4;naili;naili@ui.ac.id;kosong;senior4;game4;kosong;kosong;081009867890
D1;ajmal;ajmal@ui.ac.id;kosong;senior1;usaha1;kosong;kosong;081111267890
D2;cantika;cantika@ui.ac.id;kosong;senior2;usaha2;kosong;kosong;084443267890
D3;eki;eki@ui.ac.id;kosong;senior3;usaha3;kosong;kosong;087776167890
D4;vikri;vikri@ui.ac.id;kosong;senior4;usaha4;kosong;kosong;081000967890
E1;anggara;anggara@ui.ac.id;kosong;senior1;budaya1;kosong;kosong;081111167890
E2;cika;cika@ui.ac.id;kosong;senior2;budaya2;kosong;kosong;084444367890
E3;elios;elios@ui.ac.id;kosong;senior3;budaya3;kosong;kosong;087777667890
E4;gries;gries@ui.ac.id;kosong;senior4;budaya4;kosong;kosong;081000067890
F1;angkasa;angkasa@ui.ac.id;kosong;senior1;pendidikan1;kosong;kosong;082134567890
F2;cecep;cecep@ui.ac.id;kosong;senior2;pendidikan2;kosong;kosong;084444467890
F3;eunsik;eunsik@ui.ac.id;kosong;senior3;pendidikan3;kosong;kosong;087777767890
F4;latifah;latifah@ui.ac.id;kosong;senior4;pendidikan4;kosong;kosong;081099067890
G1;andreas;andreas@ui.ac.id;kosong;senior1;lingkungan1;kosong;kosong;082213467890
G2;cherry;cherry@ui.ac.id;kosong;senior2;lingkungan2;kosong;kosong;085432167890
G3;ella;ella@ui.ac.id;kosong;senior3;lingkungan3;kosong;kosong;088761967890
H1;andi;andi@ui.ac.id;kosong;senior1;makanan1;kosong;kosong;082221367890
H2;chopper;chopper@ui.ac.id;kosong;senior2;makanan2;kosong;kosong;085543267890
H3;farid;farid@ui.ac.id;kosong;senior3;makanan3;kosong;kosong;088876167890
I2;doffy;doffy@ui.ac.id;kosong;senior2;kesehatan1;kosong;kosong;085554367890
I3;ferguso;ferguso@ui.ac.id;kosong;senior3;kesehatan2;kosong;kosong;088887667890
J1;bayu;bayu@ui.ac.id;kosong;senior1;kecantikan1;kosong;kosong;082222167890
J2;dino;dino@ui.ac.id;kosong;senior2;kecantikan2;kosong;kosong;085555467890
J3;fika;fika@ui.ac.id;kosong;senior3;kecantikan3;kosong;kosong;088888767890
K1;bima;bima@ui.ac.id;kosong;senior1;musik1;kosong;kosong;082222267890
K2;doni;doni@ui.ac.id;kosong;senior2;musik2;kosong;kosong;085555567890
K3;tayo;tayo@ui.ac.id;kosong;senior3;musik3;kosong;kosong;088888867890
L1;bisma;bisma@ui.ac.id;kosong;senior1;seni1;kosong;kosong;083214567890
L2;dika;dika@ui.ac.id;kosong;senior2;seni2;kosong;kosong;086178967890
L3;lani;lani@ui.ac.id;kosong;senior3;seni3;kosong;kosong;089876167890
M1;betrand;betrand@ui.ac.id;kosong;senior1;peduli1;kosong;kosong;083321467890
M2;desi;desi@ui.ac.id;kosong;senior2;peduli2;kosong;kosong;086617867890
M3;amber;amber@ui.ac.id;kosong;senior3;peduli3;kosong;kosong;089987667890
N1;bernard;bernard@ui.ac.id;kosong;senior1;film1;kosong;kosong;083332167890
N2;dekwill;dekwill@ui.ac.id;kosong;senior2;film2;kosong;kosong;086661767890
N3;jessica;jessica@ui.ac.id;kosong;senior3;film3;kosong;kosong;089998767890
O1;bagus;bagus@ui.ac.id;kosong;senior1;anime1;kosong;kosong;083333267890
O2;didi;didi@ui.ac.id;kosong;senior2;anime2;kosong;kosong;086666167890
O3;liliyana;liliyana@ui.ac.id;kosong;senior3;anime3;kosong;kosong;089999867890
